"Indiv_VCF","Indiv_VCF_Edit","Population","Family"
"202023_100_PER183","PER183","P1","PER183"
"202023_101_GM13174-48","GM13174-48","P1","COL1910-x-SM3759-36"
"202023_102_GM13174-49","GM13174-49","P1","COL1910-x-SM3759-36"
"202023_103_GM13174-50","GM13174-50","P1","COL1910-x-SM3759-36"
"202023_104_GM13174-51","GM13174-51","P1","COL1910-x-SM3759-36"
"202023_105_GM13174-52","GM13174-52","P1","COL1910-x-SM3759-36"
"202023_106_GM13174-53","GM13174-53","P1","COL1910-x-SM3759-36"
"202023_107_GM13174-54","GM13174-54","P1","COL1910-x-SM3759-36"
"202023_108_GM13174-55","GM13174-55","P1","COL1910-x-SM3759-36"
"202023_10_COL1722","COL1722","Parents","COL1722"
"202023_110_COL1910","COL1910","Parents","COL1910"
"202023_111_GM13175-1","GM13175-1","P1","COL1910-x-COL1505"
"202023_112_GM13175-2","GM13175-2","P1","COL1910-x-COL1505"
"202023_113_GM13175-3","GM13175-3","P1","COL1910-x-COL1505"
"202023_114_GM13175-4","GM13175-4","P1","COL1910-x-COL1505"
"202023_115_GM13175-5","GM13175-5","P1","COL1910-x-COL1505"
"202023_116_GM13175-6","GM13175-6","P1","COL1910-x-COL1505"
"202023_117_GM13175-7","GM13175-7","P1","COL1910-x-COL1505"
"202023_118_GM13175-8","GM13175-8","P1","COL1910-x-COL1505"
"202023_119_GM13175-9","GM13175-9","P1","COL1910-x-COL1505"
"202023_11_GM13159-10","GM13159-10","P1","SM3759-36-x-VEN25"
"202023_120_VEN25","VEN25","Parents","VEN25"
"202023_121_GM13175-12","GM13175-12","P1","COL1910-x-COL1505"
"202023_122_GM13175-15","GM13175-15","P1","COL1910-x-COL1505"
"202023_123_GM13175-16","GM13175-16","P1","COL1910-x-COL1505"
"202023_124_GM13175-19","GM13175-19","P1","COL1910-x-COL1505"
"202023_125_GM13175-20","GM13175-20","P1","COL1910-x-COL1505"
"202023_126_GM13175-21","GM13175-21","P1","COL1910-x-COL1505"
"202023_127_GM13175-22","GM13175-22","P1","COL1910-x-COL1505"
"202023_129_GM13175-25","GM13175-25","P1","COL1910-x-COL1505"
"202023_12_GM13159-11","GM13159-11","P1","SM3759-36-x-VEN25"
"202023_130_COL1722","COL1722","Parents","COL1722"
"202023_131_SM3759-36","SM3759-36","Parents","SM3759-36"
"202023_132_COL1910","COL1910","Parents","COL1910"
"202023_139_GM13175-26","GM13175-26","P1","COL1910-x-COL1505"
"202023_13_GM13159-12","GM13159-12","P1","SM3759-36-x-VEN25"
"202023_141_GM13175-27","GM13175-27","P1","COL1910-x-COL1505"
"202023_142_GM13175-28","GM13175-28","P1","COL1910-x-COL1505"
"202023_143_GM13175-29","GM13175-29","P1","COL1910-x-COL1505"
"202023_144_GM13175-30","GM13175-30","P1","COL1910-x-COL1505"
"202023_145_GM13175-33","GM13175-33","P1","COL1910-x-COL1505"
"202023_146_GM13175-36","GM13175-36","P1","COL1910-x-COL1505"
"202023_148_GM13175-39","GM13175-39","P1","COL1910-x-COL1505"
"202023_149_GM13175-40","GM13175-40","P1","COL1910-x-COL1505"
"202023_14_GM13159-13","GM13159-13","P1","SM3759-36-x-VEN25"
"202023_150_COL1910","COL1910","Parents","COL1910"
"202023_151_GM13175-42","GM13175-42","P1","COL1910-x-COL1505"
"202023_152_GM13175-43","GM13175-43","P1","COL1910-x-COL1505"
"202023_153_GM13175-44","GM13175-44","P1","COL1910-x-COL1505"
"202023_154_GM13175-45","GM13175-45","P1","COL1910-x-COL1505"
"202023_155_GM13175-46","GM13175-46","P1","COL1910-x-COL1505"
"202023_156_GM13175-48","GM13175-48","P1","COL1910-x-COL1505"
"202023_157_GM13175-49","GM13175-49","P1","COL1910-x-COL1505"
"202023_158_GM13169-1","GM13169-1","P1","COL1722-x-COL2246"
"202023_159_GM13169-2","GM13169-2","P1","COL1722-x-COL2246"
"202023_15_GM13159-14","GM13159-14","P1","SM3759-36-x-VEN25"
"202023_160_VEN25","VEN25","Parents","VEN25"
"202023_161_GM13169-7","GM13169-7","P1","COL1722-x-COL2246"
"202023_162_GM13169-8","GM13169-8","P1","COL1722-x-COL2246"
"202023_163_GM13169-9","GM13169-9","P1","COL1722-x-COL2246"
"202023_164_GM13169-10","GM13169-10","P1","COL1722-x-COL2246"
"202023_165_GM13169-11","GM13169-11","P1","COL1722-x-COL2246"
"202023_166_GM13169-12","GM13169-12","P1","COL1722-x-COL2246"
"202023_167_GM13169-13","GM13169-13","P1","COL1722-x-COL2246"
"202023_168_GM13169-14","GM13169-14","P1","COL1722-x-COL2246"
"202023_169_GM13169-15","GM13169-15","P1","COL1722-x-COL2246"
"202023_16_GM13159-17","GM13159-17","P1","SM3759-36-x-VEN25"
"202023_170_COL1722","COL1722","Parents","COL1722"
"202023_171_GM13169-16","GM13169-16","P1","COL1722-x-COL2246"
"202023_172_GM13169-18","GM13169-18","P1","COL1722-x-COL2246"
"202023_173_GM13169-19","GM13169-19","P1","COL1722-x-COL2246"
"202023_174_GM13169-21","GM13169-21","P1","COL1722-x-COL2246"
"202023_175_GM13169-22","GM13169-22","P1","COL1722-x-COL2246"
"202023_176_GM13169-23","GM13169-23","P1","COL1722-x-COL2246"
"202023_177_GM13169-24","GM13169-24","P1","COL1722-x-COL2246"
"202023_178_GM13169-25","GM13169-25","P1","COL1722-x-COL2246"
"202023_179_GM13169-26","GM13169-26","P1","COL1722-x-COL2246"
"202023_17_GM13159-18","GM13159-18","P1","SM3759-36-x-VEN25"
"202023_181_GM13169-29","GM13169-29","P1","COL1722-x-COL2246"
"202023_18_GM13159-19","GM13159-19","P1","SM3759-36-x-VEN25"
"202023_19_GM13159-20","GM13159-20","P1","SM3759-36-x-VEN25"
"202023_1_GM13159-1","GM13159-1","P1","SM3759-36-x-VEN25"
"202023_20_PER183","PER183","P1","PER183"
"202023_21_GM13159-21","GM13159-21","P1","SM3759-36-x-VEN25"
"202023_22_GM13159-22","GM13159-22","P1","SM3759-36-x-VEN25"
"202023_23_GM13159-23","GM13159-23","P1","SM3759-36-x-VEN25"
"202023_24_GM13159-24","GM13159-24","P1","SM3759-36-x-VEN25"
"202023_25_GM13159-25","GM13159-25","P1","SM3759-36-x-VEN25"
"202023_26_GM13159-26","GM13159-26","P1","SM3759-36-x-VEN25"
"202023_28_GM13159-28","GM13159-28","P1","SM3759-36-x-VEN25"
"202023_29_GM13159-29","GM13159-29","P1","SM3759-36-x-VEN25"
"202023_2_GM13159-2","GM13159-2","P1","SM3759-36-x-VEN25"
